date,sex,industry_sic2007,decil_group,contents,year,value
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2016,18920
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2017,19230
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2018,19740
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2019,20320
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2020,20820
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2021,21470
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (NOK),2022,22440
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2016,5.3
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2017,5.2
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2018,5.2
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2019,5.1
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2020,5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2021,4.9
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average monthly earnings (per cent),2022,4.8
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2016,21280
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2017,21920
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2018,22290
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2019,23230
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2020,23870
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2021,24360
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Boundaries monthly earnings (NOK),2022,25860
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2016,28
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2017,27.9
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2018,28.2
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2019,28.6
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2020,28.5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2021,28.3
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average age (years),2022,28.9
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2016,21.2
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2017,21
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2018,21.3
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2019,20.8
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2020,20.4
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2021,18.1
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 1,Average contractual working hours per week (hours),2022,17.5
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2016,23030
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2017,23370
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2018,24030
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2019,24930
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2020,25760
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2021,26690
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (NOK),2022,28060
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2016,6.5
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2017,6.3
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2018,6.3
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2019,6.3
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2020,6.2
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2021,6.1
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average monthly earnings (per cent),2022,6
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2016,24360
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2017,24600
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2018,25550
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2019,26740
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2020,27610
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2021,28740
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Boundaries monthly earnings (NOK),2022,30010
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2016,32.2
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2017,33.8
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2018,33.5
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2019,34.4
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2020,34.2
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2021,34.4
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average age (years),2022,34.7
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2016,22
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2017,22.1
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2018,21.3
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2019,21.4
