sex,industry_sic2007,decil_group,contents,year,value
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2016,52860
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2017,55630
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2018,58550
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2019,60260
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2020,62940
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2021,66310
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (NOK),2022,70390
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2016,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2017,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2018,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2019,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2020,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2021,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average monthly earnings (per cent),2022,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2016,53950
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2017,56520
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2018,59410
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2019,60890
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2020,63860
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2021,67120
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Boundaries monthly earnings (NOK),2022,71280
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2016,42.3
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2017,42.1
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2018,42.3
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2019,44.1
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2020,42.6
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2021,44
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average age (years),2022,44.1
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2016,33.7
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2017,35.4
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2018,35.3
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2019,35
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2020,34.3
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2021,35
Both sexes,"Agriculture, forestry and fishing",Percentile 91,Average contractual working hours per week (hours),2022,35.5
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2016,54700
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2017,57390
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2018,60110
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2019,61880
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2020,64760
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2021,68230
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (NOK),2022,72500
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2016,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2017,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2018,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2019,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2020,1.5
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2021,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average monthly earnings (per cent),2022,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2016,55590
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2017,58330
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2018,60960
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2019,62840
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2020,65620
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2021,69570
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Boundaries monthly earnings (NOK),2022,73680
