year,industryparentname,Wages and salaries (NOK million),Compensation of employees (NOK million),Employed persons. Employees (1000 persons),Total hours worked for employees (million workhours),parentcode_indus,date
2013,"Agriculture, forestry and fishing",9278,10661,25.8,35.8,A,2013-12-31
2014,"Agriculture, forestry and fishing",9916,11412,26.2,36.9,A,2014-12-31
2015,"Agriculture, forestry and fishing",10582,12174,27,38,A,2015-12-31
2016,"Agriculture, forestry and fishing",11272,12965,27.9,39.5,A,2016-12-31
2017,"Agriculture, forestry and fishing",12121,14014,29.000000000000004,41,A,2017-12-31
2013,Mining and quarrying,64097,81685,70.5,110.7,B,2013-12-31
2014,Mining and quarrying,66472,84969,71.6,112.4,B,2014-12-31
2015,Mining and quarrying,62716,80398,66.10000000000001,102.6,B,2015-12-31
2016,Mining and quarrying,56211,72413,58.2,90,B,2016-12-31
2017,Mining and quarrying,54140,69263,55.6,85.7,B,2017-12-31
2013,Manufacturing,117769,144124,229.3,363,C,2013-12-31
2014,Manufacturing,122012,149789,230.4,366,C,2014-12-31
2015,Manufacturing,120805,148300,223,351.9,C,2015-12-31
2016,Manufacturing,117425,144339,213,336.7,C,2016-12-31
2017,Manufacturing,117193,143716,209.2,327.7,C,2017-12-31
2013,"Electricity, gas, steam and air conditioning supply",9406,12544,14.6,23.6,D,2013-12-31
2014,"Electricity, gas, steam and air conditioning supply",9987,13375,15,24.2,D,2014-12-31
2015,"Electricity, gas, steam and air conditioning supply",10529,14135,15.3,24.9,D,2015-12-31
2016,"Electricity, gas, steam and air conditioning supply",10942,14744,15.6,25.6,D,2016-12-31
2017,"Electricity, gas, steam and air conditioning supply",11384,15228,15.7,25.6,D,2017-12-31
2013,"Water supply; sewerage, waste management and remediation activities",6735,8214,14,22.7,E,2013-12-31
2014,"Water supply; sewerage, waste management and remediation activities",7160,8792,14.5,23.5,E,2014-12-31
2015,"Water supply; sewerage, waste management and remediation activities",7557,9315,14.9,24.2,E,2015-12-31
2016,"Water supply; sewerage, waste management and remediation activities",7971,9970,15.4,25.1,E,2016-12-31
2017,"Water supply; sewerage, waste management and remediation activities",8379,10518,15.700000000000001,25.5,E,2017-12-31
2013,Construction,86342,102840,183.4,287.4,F,2013-12-31
2014,Construction,91199,108431,188.5,296.2,F,2014-12-31
2015,Construction,96164,114291,193,304.7,F,2015-12-31
2016,Construction,101452,120681,199.3,315,F,2016-12-31
2017,Construction,109044,129868,209.5,326.6,F,2017-12-31
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,124263,150627,345.2,442.2,G,2013-12-31
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,127607,154201,349.3,443.9,G,2014-12-31
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,132503,159640,351.9,448.6,G,2015-12-31
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,135922,163601,351.1,450.5,G,2016-12-31
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,140725,169312,352.9,450,G,2017-12-31
2013,Transportation and storage,69655,85437,153.6,229.20000000000002,H,2013-12-31
2014,Transportation and storage,68803,84398,148.8,225.5,H,2014-12-31
2015,Transportation and storage,70915,87225,149,226.4,H,2015-12-31
2016,Transportation and storage,71229,87563,148.2,226.5,H,2016-12-31
2017,Transportation and storage,71546,86655,146,221.5,H,2017-12-31
2013,Accommodation and food service activities,21748,25428,82.5,105.4,I,2013-12-31
2014,Accommodation and food service activities,23174,27076,86.2,110.3,I,2014-12-31
2015,Accommodation and food service activities,24544,28609,88.8,114.19999999999999,I,2015-12-31
2016,Accommodation and food service activities,25641,29856,92.69999999999999,117.3,I,2016-12-31
2017,Accommodation and food service activities,26981,31395,96.6,121.89999999999999,I,2017-12-31
2013,Information and communication,52625,65315,85.3,133.1,J,2013-12-31
2014,Information and communication,55606,68809,87.5,136.79999999999998,J,2014-12-31
2015,Information and communication,58126,71921,88.7,139.20000000000002,J,2015-12-31
2016,Information and communication,59086,73112,88.1,139.2,J,2016-12-31
2017,Information and communication,61751,76362,89.1,140.5,J,2017-12-31
2013,Financial and insurance activities,32828,43382,49,75.8,K,2013-12-31
2014,Financial and insurance activities,34146,45347,48.5,75.6,K,2014-12-31
2015,Financial and insurance activities,34921,46320,47.8,74.7,K,2015-12-31
2016,Financial and insurance activities,36060,47454,47.1,74.6,K,2016-12-31
2017,Financial and insurance activities,36732,47497,46.5,73.4,K,2017-12-31
2013,Real estate activities,12610,15167,23.4,33.6,L,2013-12-31
