parentcode_indus,industryparentname,year,alder_aar,tuvekt,is.male,is.union,has.education.primary,has.education.juniorhigh,has.education.some.hs,has.education.finished.hs,has.education.trade.school,has.education.bachelor,has.education.master,has.education.doctor,has.education.ungiven,lessthantwenty,twenty,thirty,fourty,fifty,sixty,seventyplus,sector.private,sector.municipal,sector.county,sector.centralgov,employment.onleave.employee,employment.employee,employment.selfemployed,employment.onleave.selfemployed,employment.onleave.familyemploy,employment.familyemploy,employment.employee.ungiven,employment.military,collective.agreement.yes,collective.agreement.combination,collective.agreement.no,fulltime,parttime,Unspecified or unidentifiable occupations,Commissioned armed forces officers,Non-commissioned armed forces officers,"Armed forces occupations, other ranks","Chief executives, senior officials and legislators",Administrative and commercial managers,Production and specialised services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administration professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administration associate professionals,"Legal, social, cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service wokers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronics trades workers,"Food processing, woodworking, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,"Agricultural, forestry and fishery labourers","Labourers in mining, construction, manufacturing and transport",Food preparation assistants,Street and related service workers,Refuse workers and other elementary workers,nfreq,occupation,sector,sex,contractual_usual_working_hours_per_week,Monthly earnings (NOK)_Average,Monthly earnings (NOK)_Median,Monthly earnings (NOK)_Lower quartile,Monthly earnings (NOK)_Upper quartile,Monthly earnings (NOK)_Number of eployments with earnings,Monthly earnings (NOK)_Number of full-time equivalents,Basic monthly salary (NOK)_Average,Basic monthly salary (NOK)_Median,Basic monthly salary (NOK)_Lower quartile,Basic monthly salary (NOK)_Upper quartile,Basic monthly salary (NOK)_Number of eployments with earnings,Basic monthly salary (NOK)_Number of full-time equivalents,Variable additional allowances (NOK)_Average,Variable additional allowances (NOK)_Median,Variable additional allowances (NOK)_Lower quartile,Variable additional allowances (NOK)_Upper quartile,Variable additional allowances (NOK)_Number of eployments with earnings,Variable additional allowances (NOK)_Number of full-time equivalents,Bonus (NOK)_Average,Bonus (NOK)_Median,Bonus (NOK)_Lower quartile,Bonus (NOK)_Upper quartile,Bonus (NOK)_Number of eployments with earnings,Bonus (NOK)_Number of full-time equivalents,Overtime pay (NOK)_Average,Overtime pay (NOK)_Median,Overtime pay (NOK)_Lower quartile,Overtime pay (NOK)_Upper quartile,Overtime pay (NOK)_Number of eployments with earnings,Overtime pay (NOK)_Number of full-time equivalents,Age (years)_Average,Age (years)_Median,Age (years)_Lower quartile,Age (years)_Upper quartile,Age (years)_Number of eployments with earnings,Age (years)_Number of full-time equivalents,Contractual working hours per week (hours)_Average,Contractual working hours per week (hours)_Median,Contractual working hours per week (hours)_Lower quartile,Contractual working hours per week (hours)_Upper quartile,Contractual working hours per week (hours)_Number of eployments with earnings,Contractual working hours per week (hours)_Number of full-time equivalents
I,Accommodation and food service activities,2016,36.155660377358494,317.8994106533962,0.42924528301886794,0.2358490566037736,0.00943396226415094,0.29245283018867924,0.07075471698113207,0.419811320754717,0.02358490566037736,0.16037735849056603,0.00943396226415094,0.00471698113207547,0.00943396226415094,0.11320754716981132,0.28773584905660377,0.2216981132075472,0.18867924528301888,0.14622641509433962,0.04245283018867924,0,0.9716981132075472,0.01415094339622641,0,0.00471698113207547,0.12264150943396226,0.8066037735849056,0.05188679245283019,0.01415094339622641,0,0.00471698113207547,0,0,0.3820754716981132,0.0660377358490566,0.3490566037735849,0.8160377358490566,0.11320754716981132,0.00943396226415094,0,0,0,0.00471698113207547,0.00471698113207547,0,0.11320754716981132,0,0,0,0.00943396226415094,0.00471698113207547,0,0,0,0.00943396226415094,0.04245283018867924,0,0.00471698113207547,0.08962264150943396,0.00471698113207547,0,0.46226415094339623,0.09905660377358493,0,0.00471698113207547,0,0,0,0,0,0,0,0.00471698113207547,0,0.01415094339622641,0.04716981132075472,0,0,0.07075471698113207,0,0,212,All occupations,Sum all sectors,Both sexes,All employees,29580,27600,24360,31660,101163,69437,28860,26860,24360,30800,101163,69437,480,0,0,520,101163,69437,250,0,0,0,101163,69437,180,0,0,40,101163,69437,33.6,31,24,42,101163,69437,25.3,34.1,11.3,37.5,101163,69437
N,Administrative and support service activities,2016,42.26631853785901,298.64999552383813,0.5953002610966057,0.3524804177545692,0.01044386422976501,0.2297650130548303,0.10704960835509138,0.35509138381201044,0.03394255874673629,0.20365535248041777,0.05744125326370757,0.00261096605744125,0,0.02349869451697128,0.22193211488250653,0.2193211488250653,0.22715404699738903,0.216710182767624,0.08877284595300261,0.00261096605744125,0.8459530026109661,0.13577023498694518,0,0.01044386422976501,0.1409921671018277,0.7859007832898173,0.06266318537859007,0.01044386422976501,0,0,0,0,0.32114882506527415,0.0391644908616188,0.3524804177545692,0.7963446475195822,0.12532637075718014,0.01827676240208877,0,0,0,0.0052219321148825,0.02088772845953002,0.02088772845953002,0.01044386422976501,0.00783289817232375,0,0.01044386422976501,0.0391644908616188,0.01305483028720626,0.0052219321148825,0.0391644908616188,0.00261096605744125,0.09660574412532635,0.01305483028720626,0.00261096605744125,0.02088772845953002,0.05744125326370757,0.03394255874673629,0.0052219321148825,0.09660574412532635,0.04699738903394256,0.01827676240208877,0.06527415143603134,0.02349869451697128,0,0.05221932114882506,0.01566579634464751,0.00261096605744125,0.01305483028720626,0.00783289817232375,0.00261096605744125,0,0.02872062663185378,0.19843342036553524,0,0.00261096605744125,0.00261096605744125,0,0,383,All occupations,Sum all sectors,Both sexes,All employees,36960,32620,29230,39120,144924,114095,35600,32030,28830,37630,144924,114095,580,0,0,10,144924,114095,780,0,0,0,144924,114095,630,0,0,230,144924,114095,39.8,39,29,49,144924,114095,29.4,37.5,21.8,37.5,144924,114095
A,"Agriculture, forestry and fishing",2016,47.26923076923077,279.2393356112981,0.7596153846153846,0.10096153846153846,0,0.25,0.2259615384615385,0.3173076923076923,0.02884615384615384,0.1201923076923077,0.04807692307692308,0.00961538461538461,0,0.0625,0.12980769230769232,0.12980769230769232,0.17307692307692307,0.2644230769230769,0.21634615384615383,0.02403846153846154,1,0,0,0,0.05288461538461538,0.38461538461538464,0.5048076923076923,0.03846153846153846,0,0.01923076923076923,0,0,0.13942307692307693,0.02403846153846154,0.22115384615384617,0.42788461538461536,0.02884615384615384,0,0,0,0,0.0048076923076923,0,0.01442307692307692,0,0.0048076923076923,0,0,0.0048076923076923,0,0,0.02884615384615384,0,0.01442307692307692,0.0048076923076923,0,0.00961538461538461,0,0.0048076923076923,0,0.00961538461538461,0.00961538461538461,0,0,0.6105769230769231,0.1971153846153846,0.0048076923076923,0.0048076923076923,0,0,0.0048076923076923,0.0048076923076923,0,0.02884615384615384,0,0.02403846153846154,0,0.00961538461538461,0,0,208,All occupations,Sum all sectors,Both sexes,All employees,35580,32040,25460,41330,31905,21986,34000,31180,25170,38640,31905,21986,690,0,0,0,31905,21986,890,0,0,0,31905,21986,920,0,0,0,31905,21986,38.5,37,26,49,31905,21986,25.8,36,10.6,37.5,31905,21986
R,"Arts, entertainment and recreation",2016,38.68181818181818,329.17058007097404,0.5064935064935064,0.3181818181818182,0.00649350649350649,0.22077922077922077,0.02597402597402597,0.2597402597402597,0.01948051948051948,0.3246753246753247,0.13636363636363635,0,0.00649350649350649,0.15584415584415584,0.2012987012987013,0.1948051948051948,0.2012987012987013,0.17532467532467533,0.05844155844155844,0.01298701298701298,0.7142857142857143,0.17532467532467533,0.01298701298701298,0.07142857142857142,0.09090909090909093,0.6558441558441559,0.22077922077922077,0.03246753246753246,0,0,0,0,0.15584415584415584,0.05844155844155844,0.21428571428571427,0.6883116883116883,0.06493506493506493,0.00649350649350649,0,0,0,0.00649350649350649,0.03246753246753246,0.00649350649350649,0.05194805194805195,0.01298701298701298,0,0.03246753246753246,0.03896103896103896,0.01298701298701298,0.2597402597402597,0,0.01298701298701298,0.05194805194805195,0.22077922077922077,0.01298701298701298,0.01298701298701298,0.05844155844155844,0.00649350649350649,0.01298701298701298,0.04545454545454545,0.01298701298701298,0.00649350649350649,0.01948051948051948,0.01298701298701298,0,0.00649350649350649,0.00649350649350649,0.00649350649350649,0,0.00649350649350649,0,0,0.00649350649350649,0.01298701298701298,0.00649350649350649,0,0,0,0,154,All occupations,Sum all sectors,Both sexes,All employees,37860,36340,29310,43440,49525,29180,37180,35880,28960,42920,49525,29180,300,0,0,0,49525,29180,380,0,0,0,49525,29180,160,0,0,0,49525,29180,39.9,40,28,51,49525,29180,22,22.5,5.9,37.5,49525,29180
F,Construction,2016,41.719941348973606,309.7158860663343,0.8929618768328446,0.3020527859237537,0,0.1744868035190616,0.07917888563049853,0.5483870967741935,0.06598240469208211,0.10557184750733138,0.02492668621700879,0,0.00146627565982404,0.03812316715542522,0.22287390029325513,0.20821114369501467,0.23607038123167157,0.20674486803519063,0.08357771260997067,0.00439882697947214,0.9486803519061584,0.03225806451612903,0,0.01759530791788856,0.1129032258064516,0.7551319648093842,0.1217008797653959,0.01026392961876832,0,0,0,0,0.2829912023460411,0.07331378299120235,0.4032258064516129,0.844574780058651,0.02346041055718475,0.00146627565982404,0,0,0,0,0.00879765395894428,0.05718475073313783,0,0.02492668621700879,0,0,0.00733137829912023,0,0.00293255131964809,0.08504398826979472,0.00586510263929618,0.02785923753665689,0,0.00439882697947214,0.01612903225806451,0.00146627565982404,0.03372434017595308,0,0.01612903225806451,0.00439882697947214,0,0.00146627565982404,0,0,0.3841642228739003,0.02932551319648094,0,0.13636363636363635,0.01026392961876832,0.00293255131964809,0,0.10410557184750734,0.00733137829912023,0.00146627565982404,0.01906158357771261,0,0,0.00586510263929618,682,All occupations,Sum all sectors,Both sexes,All employees,41190,38320,32480,45720,216752,200016,39500,37020,31680,43620,216752,200016,890,0,0,920,216752,200016,800,0,0,0,216752,200016,990,0,0,640,216752,200016,39.5,39,29,50,216752,200016,34.6,37.5,37.5,37.5,216752,200016
P,Education,2016,45.22998729351969,286.58255981656924,0.3240152477763659,0.7890724269377383,0,0.04701397712833545,0.0241423125794155,0.14104193138500634,0.01143583227445997,0.5438373570520966,0.17916137229987297,0.05336721728081321,0,0.01143583227445997,0.1372299872935197,0.20330368487928843,0.2947903430749682,0.22998729351969505,0.12198221092757308,0.00127064803049555,0.13087674714104194,0.5285895806861499,0.18043202033036848,0.1588310038119441,0.15120711562897077,0.8335451080050826,0.01270648030495552,0.0025412960609911,0,0,0,0,0.06607369758576874,0.01270648030495552,0.03303684879288437,0.8487928843710292,0.13468869123252858,0.00127064803049555,0,0,0,0,0.01016518424396442,0.04955527318932656,0,0.00635324015247776,0.00381194409148665,0.6963151207115629,0.0266836086404066,0.00508259212198221,0.01651842439644218,0.00127064803049555,0,0.01524777636594663,0.01143583227445997,0.00508259212198221,0.01905972045743329,0.00381194409148665,0.0025412960609911,0,0.02287166454891994,0.00127064803049555,0.08132147395171538,0.00381194409148665,0,0,0,0,0,0,0,0,0,0,0.01524777636594663,0,0,0.00127064803049555,0,0,787,All occupations,Sum all sectors,Both sexes,All employees,42860,42830,36830,47640,237283,184003,42720,42720,36720,47540,237283,184003,120,0,0,0,237283,184003,20,0,0,0,237283,184003,190,0,0,0,237283,184003,44.8,45,36,54,237283,184003,29.1,37.5,19.7,37.5,237283,184003
D,"Electricity, gas, steam and air conditioning supply",2016,45.80882352941177,291.02215449014705,0.7058823529411765,0.6323529411764706,0,0.04411764705882353,0.04411764705882353,0.3382352941176471,0.0588235294117647,0.27941176470588236,0.2352941176470588,0,0,0.02941176470588235,0.17647058823529413,0.08823529411764706,0.3088235294117647,0.27941176470588236,0.10294117647058824,0.01470588235294117,0.9411764705882352,0,0,0.0588235294117647,0.02941176470588235,0.9705882352941176,0,0,0,0,0,0,0.45588235294117646,0.14705882352941177,0.2647058823529412,0.9411764705882352,0.04411764705882353,0.01470588235294117,0,0,0,0.01470588235294117,0.01470588235294117,0.0588235294117647,0.01470588235294117,0.16176470588235295,0,0,0.1176470588235294,0.04411764705882353,0,0.2647058823529412,0,0.0588235294117647,0,0,0.0588235294117647,0.02941176470588235,0.01470588235294117,0,0.01470588235294117,0.01470588235294117,0,0,0,0,0,0,0,0.10294117647058824,0,0,0,0,0,0,0,0,0,0,68,All occupations,Sum all sectors,Both sexes,All employees,55950,49920,42350,64690,16160,15293,53590,48140,40980,62500,16160,15293,900,0,0,450,16160,15293,1460,0,0,1190,16160,15293,1840,240,0,2510,16160,15293,45.6,47,36,55,16160,15293,35.4,37.5,37.5,37.5,16160,15293
K,Financial and insurance activities,2016,44.95333333333333,297.6023444278,0.5266666666666666,0.5666666666666667,0,0.05333333333333334,0.07333333333333333,0.26,0.00666666666666666,0.42,0.18666666666666668,0,0,0,0.16666666666666666,0.22,0.2,0.3,0.11333333333333331,0,0.9933333333333332,0,0,0.00666666666666666,0.07333333333333333,0.88,0.04,0.00666666666666666,0,0,0,0,0.3466666666666667,0.18,0.38,0.94,0.01333333333333333,0.00666666666666666,0,0,0,0.00666666666666666,0.03333333333333333,0.08666666666666667,0,0,0,0,0.07333333333333333,0.05333333333333334,0.01333333333333333,0.01333333333333333,0,0.66,0.00666666666666666,0.00666666666666666,0,0.01333333333333333,0.00666666666666666,0,0,0.00666666666666666,0,0,0,0.00666666666666666,0,0,0,0,0,0,0,0.00666666666666666,0,0,0,0,0,0,150,All occupations,Sum all sectors,Both sexes,All employees,61650,49820,39780,67340,46226,43929,54270,46660,37510,62360,46226,43929,710,0,0,0,46226,43929,6680,940,0,3130,46226,43929,590,0,0,260,46226,43929,44.2,44,35,54,46226,43929,35.2,36.9,36.8,37.5,46226,43929
Q,Human health and social work activities,2016,43.198811453268505,293.5363353062669,0.19502971366828745,0.7039438141545111,0,0.1091301998919503,0.059967585089141,0.26526202052944353,0.01836844948676391,0.4359805510534846,0.10318746623446784,0.00648298217179902,0.00162074554294975,0.02323068611561318,0.1842247433819557,0.2258238789843328,0.24473257698541329,0.20799567801188543,0.11129119394921665,0.00270124257158292,0.23230686115613183,0.5386277687736358,0.00918422474338195,0.2182603997839006,0.14532685035116152,0.8222582387898433,0.02809292274446245,0.00378173960021609,0,5.402485143165856e-4,0,0,0.12371690977849811,0.01728795245813074,0.04916261480280929,0.8698001080497029,0.09562398703403566,0.00378173960021609,0,0,0,0.00270124257158292,0.00270124257158292,0.02809292274446245,0.00162074554294975,0.00378173960021609,0.28741220961642355,0.06537007023230686,0.01296596434359805,0.00324149108589951,0.02755267423014586,0.00432198811453268,0.04862236628849271,0.01620745542949757,0.05024311183144246,5.402485143165856e-4,0.01080497028633171,0.00216099405726634,0.00270124257158292,0,0.01026472177201512,0.00108049702863317,0.38141545110750946,0,0.00108049702863317,0,0,0,5.402485143165856e-4,0,0,0.00216099405726634,5.402485143165856e-4,0,0.01296596434359805,0,0.00702323068611561,0.00810372771474878,0,0,1851,All occupations,Sum all sectors,Both sexes,All employees,40390,38600,33030,44000,608203,418174,37850,35720,32060,41210,608203,418174,2490,0,0,3800,608203,418174,50,0,0,0,608203,418174,490,0,0,290,608203,418174,42.9,43,33,53,608203,418174,25.2,29.3,14.7,37.5,608203,418174
J,Information and communication,2016,42.283076923076926,303.85459083923075,0.7323076923076923,0.37538461538461537,0.00307692307692307,0.05538461538461538,0.03076923076923077,0.24,0.04,0.4246153846153846,0.19384615384615383,0.0123076923076923,0,0.00615384615384615,0.1753846153846154,0.28307692307692306,0.28,0.19384615384615383,0.05846153846153846,0.00307692307692307,0.9938461538461538,0.00307692307692307,0,0.00307692307692307,0.11076923076923076,0.8553846153846154,0.03384615384615384,0,0,0,0,0,0.24923076923076923,0.08307692307692308,0.556923076923077,0.9384615384615383,0.02769230769230769,0.00615384615384615,0,0,0,0.0123076923076923,0.04615384615384615,0.0523076923076923,0.00923076923076923,0.04307692307692307,0,0.00307692307692307,0.07076923076923076,0.40307692307692305,0.12307692307692308,0.03076923076923077,0.00307692307692307,0.05538461538461538,0.02153846153846153,0.04307692307692307,0.00307692307692307,0.02153846153846153,0.00923076923076923,0,0.00615384615384615,0.01846153846153846,0.00615384615384615,0,0,0,0,0,0.00307692307692307,0.00307692307692307,0,0,0,0,0.00307692307692307,0,0,0,0,0.00307692307692307,325,All occupations,Sum all sectors,Both sexes,All employees,56470,51500,41220,65680,87769,81123,52870,49600,40000,62120,87769,81123,570,0,0,0,87769,81123,3020,0,0,1580,87769,81123,790,0,0,130,87769,81123,41.2,41,33,49,87769,81123,34.7,37.5,37.5,37.5,87769,81123
