nfreq,date,year,parentcode_indus,industryparentname,employees_covered_by_the_survey,lower_quartile_nok,median_nok,mean_nok,upper_quartile_nok,alder_aar,tu31,tuvekt,is_male,is_union,has_education_primary,has_education_juniorhigh,has_education_some_hs,has_education_finished_hs,has_education_trade_school,has_education_bachelor,has_education_master,has_education_doctor,has_education_ungiven,lessthantwenty,twenty,thirty,fourty,fifty,sixty,seventyplus,sector_private,sector_municipal,sector_county,sector_centralgov,employment_onleave_employee,employment_employee,employment_selfemployed,employment_onleave_selfemployed,employment_onleave_familyemploy,employment_familyemploy,employment_employee_ungiven,employment_military,collective_agreement_yes,collective_agreement_combination,collective_agreement_no,fulltime,parttime
83,2013-12-31,2013,A,"Agriculture, forestry and fishing",3255,31800,37100,39700,44100,39.63855421686747,NA,305.9193842479518,0.7710843373493976,0.3132530120481928,0,0.26506024096385544,0.13253012048192772,0.3855421686746988,0.03614457831325301,0.12048192771084336,0.03614457831325301,0,0.02409638554216867,0.12048192771084336,0.20481927710843373,0.2289156626506024,0.14457831325301204,0.21686746987951808,0.08433734939759036,0,0.9879518072289156,0.01204819277108433,0,0,0.26506024096385544,0.7349397590361446,0,0,0,0,0,0,0.3855421686746988,0,0.3855421686746988,0.9759036144578314,0.02409638554216867
190,2014-12-31,2014,A,"Agriculture, forestry and fishing",3537,33400,39500,41900,46000,47.85263157894737,NA,270.070922043,0.7894736842105263,0.12105263157894736,0.00526315789473684,0.18421052631578944,0.24736842105263157,0.3736842105263158,0.03157894736842105,0.10526315789473684,0.04210526315789473,0,0.01052631578947368,0.05263157894736842,0.08421052631578947,0.1368421052631579,0.25263157894736843,0.2631578947368421,0.2,0.01052631578947368,0.9947368421052633,0,0.00526315789473684,0,0.06315789473684211,0.30526315789473685,0.5842105263157895,0.04210526315789473,0.00526315789473684,0,0,0,0.15263157894736842,0.05263157894736842,0.13157894736842105,0.3526315789473684,0.01578947368421052
282,2013-12-31,2013,B,Mining and quarrying,54163,45200,57100,63800,73800,43.276595744680854,NA,293.99128274673757,0.7872340425531915,0.6382978723404256,0,0.07446808510638298,0.05319148936170213,0.36879432624113473,0.06028368794326241,0.2801418439716312,0.13829787234042554,0.01773049645390071,0.00709219858156028,0.00709219858156028,0.1453900709219858,0.25886524822695034,0.30141843971631205,0.23404255319148937,0.05319148936170213,0,0.9822695035460992,0,0,0.01418439716312056,0.2304964539007092,0.7695035460992907,0,0,0,0,0,0,0.450354609929078,0,0.2907801418439716,0.9893617021276596,0.01063829787234042
264,2014-12-31,2014,B,Mining and quarrying,55498,47000,58900,65400,74800,43.20454545454545,NA,282.0255974668561,0.7992424242424242,0.6742424242424242,0,0.09848484848484848,0.04166666666666666,0.3787878787878788,0.08333333333333333,0.24242424242424243,0.14393939393939395,0.01136363636363636,0,0.01136363636363636,0.1553030303030303,0.2272727272727273,0.3409090909090909,0.21212121212121213,0.05303030303030303,0,0.9734848484848484,0,0,0.02272727272727272,0.2196969696969697,0.7765151515151515,0.00378787878787878,0,0,0,0,0,0.4924242424242424,0.14015151515151514,0.32575757575757575,0.981060606060606,0.01515151515151515
731,2013-12-31,2013,C,Manufacturing,133771,31300,36800,41400,46200,44.240766073871406,NA,284.5139976120657,0.7797537619699042,0.5266757865937073,0,0.19835841313269495,0.1094391244870041,0.3967168262653899,0.06155950752393981,0.1491108071135431,0.06839945280437756,0.0054719562243502,0.01094391244870041,0.02735978112175102,0.13132694938440492,0.2024623803009576,0.3146374829001368,0.2270861833105335,0.0957592339261286,0.00136798905608755,0.9890560875512996,0.00136798905608755,0,0.00136798905608755,0.10533515731874143,0.8946648426812586,0,0,0,0,0,0,0.4596443228454172,0,0.2913816689466484,0.9589603283173734,0.03967168262653899
774,2014-12-31,2014,C,Manufacturing,133071,32300,37900,42500,47600,44.49095607235142,NA,287.5223306422093,0.7855297157622739,0.5051679586563308,0.00129198966408268,0.1925064599483204,0.09043927648578812,0.41214470284237725,0.05297157622739018,0.17571059431524547,0.06718346253229975,0.00645994832041343,0.00129198966408268,0.02325581395348837,0.16020671834625322,0.1925064599483204,0.2622739018087855,0.25452196382428943,0.1020671834625323,0.00516795865633075,0.9896640826873384,0,0.00129198966408268,0.00258397932816537,0.09431524547803616,0.8798449612403101,0.02325581395348837,0.00129198966408268,0,0.00129198966408268,0,0,0.4418604651162791,0.17054263565891473,0.3023255813953488,0.9366925064599484,0.03617571059431524
53,2013-12-31,2013,D,"Electricity, gas, steam and air conditioning supply",9817,38900,44000,49900,56600,46.716981132075475,NA,256.4063524420755,0.6981132075471698,0.71698113207547165,0,0.05660377358490566,0.05660377358490566,0.3584905660377358,0.16981132075471697,0.22641509433962265,0.1320754716981132,0,0,0,0.1320754716981132,0.18867924528301888,0.3018867924528302,0.20754716981132076,0.16981132075471697,0,0.8113207547169812,0.03773584905660377,0,0.1509433962264151,0.1320754716981132,0.8679245283018868,0,0,0,0,0,0,0.33962264150943394,0,0.16981132075471697,1,0
58,2014-12-31,2014,D,"Electricity, gas, steam and air conditioning supply",9987,39900,45700,51600,59100,47.310344827586206,NA,266.1396901117241,0.7586206896551724,0.8103448275862069,0,0.06896551724137931,0.03448275862068965,0.5172413793103449,0.1206896551724138,0.1896551724137931,0.06896551724137931,0,0,0.06896551724137931,0.1206896551724138,0.10344827586206896,0.22413793103448276,0.29310344827586204,0.1724137931034483,0.01724137931034482,0.7586206896551724,0.08620689655172414,0.03448275862068965,0.1206896551724138,0.01724137931034482,0.9655172413793104,0,0.01724137931034482,0,0,0,0,0.4482758620689655,0.15517241379310345,0.13793103448275862,0.9310344827586208,0.06896551724137931
43,2013-12-31,2013,E,"Water supply; sewerage, waste management and remediation activities",8966,31000,34700,38400,41700,45.74418604651163,NA,268.7287518283721,0.813953488372093,0.5813953488372093,0,0.32558139534883723,0,0.46511627906976744,0.02325581395348837,0.13953488372093023,0.04651162790697674,0,0,0.02325581395348837,0.09302325581395347,0.23255813953488372,0.3023255813953488,0.16279069767441862,0.18604651162790695,0,0.5581395348837209,0.4186046511627907,0.02325581395348837,0,0.06976744186046512,0.9302325581395348,0,0,0,0,0,0,0.20930232558139536,0,0.2558139534883721,0.9534883720930232,0.04651162790697674
49,2014-12-31,2014,E,"Water supply; sewerage, waste management and remediation activities",9658,31800,35500,39000,42800,45.224489795918366,NA,294.92854246836737,0.8367346938775511,0.5714285714285714,0,0.22448979591836735,0.08163265306122448,0.4693877551020408,0.04081632653061224,0.12244897959183672,0.06122448979591836,0,0,0,0.12244897959183672,0.2653061224489796,0.2857142857142857,0.20408163265306123,0.12244897959183672,0,0.5102040816326531,0.40816326530612246,0.06122448979591836,0,0.14285714285714285,0.8367346938775511,0.02040816326530612,0,0,0,0,0,0.22448979591836735,0.08163265306122448,0.16326530612244897,0.9591836734693876,0.02040816326530612
