code,shortname,level,name,nb_name,navn,parentcode
00,Unspecified,2,Unspecified or unidentifiable industry,Uspesifisert eller uidentifiserbar næring,Uspesifisert eller uidentifiserbar næring,00.0
01,"Crop and animal production, hunting",2,"Crop and animal production, hunting and related service activities","Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell","Jordbruk og tjenester tilknyttet jordbruk, ja",A
02,Forestry and logging,2,Forestry and logging,Skogbruk og tjenester tilknyttet skogbruk,Skogbruk og tjenester tilknyttet skogbruk,A
03,Fishing and aquaculture,2,Fishing and aquaculture,"Fiske, fangst og akvakultur","Fiske, fangst og akvakultur",A
05,Mining of coal and lignite,2,Mining of coal and lignite,Bryting av steinkull og brunkull,Bryting av steinkull og brunkull,B
06,Extraction of oil and natural gas,2,Extraction of crude petroleum and natural gas,Utvinning av råolje og naturgass,Utvinning av råolje og naturgass,B
07,Mining of metal ores,2,Mining of metal ores,Bryting av metallholdig malm,Bryting av metallholdig malm,B
08,Other mining and quarrying,2,Other mining and quarrying,Bryting og bergverksdrift ellers,Bryting og bergverksdrift ellers,B
09,Mining support service activities,2,Mining support service activities,Tjenester tilknyttet bergverksdrift og utvinning,Tjenester tilknyttet bergverksdrift og utvinn,B
10,Food products,2,Manufacture of food products,Produksjon av nærings- og nytelsesmidler,Produksjon av nærings- og nytelsesmidler,C
11,Beverages,2,Manufacture of beverages,Produksjon av drikkevarer,Produksjon av drikkevarer,C
12,Tobacco products,2,Manufacture of tobacco products,Produksjon av tobakksvarer,Produksjon av tobakksvarer,C
13,Textiles,2,Manufacture of textiles,Produksjon av tekstiler,Produksjon av tekstiler,C
14,Wearing apparel,2,Manufacture of wearing apparel,Produksjon av klær,Produksjon av klær,C
15,Leather and leather products,2,Manufacture of leather and related products,Produksjon av lær og lærvarer,Produksjon av lær og lærvarer,C
16,Wood and wood products,2,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials, except furniture","Produksjon av trelast og varer av tre, kork, strå og flettematerialer, unntatt møbler","Produksjon av trelast og varer av tre, kork, ",C
17,Paper and paper products,2,Manufacture of paper and paper products,Produksjon av papir og papirvarer,Produksjon av papir og papirvarer,C
18,Printing and reproduction,2,Printing and reproduction of recorded media,Trykking og reproduksjon av innspilte opptak,Trykking og reproduksjon av innspilte opptak,C
19,Refined petroleum products,2,Manufacture of coke and refined petroleum products,Produksjon av kull- og raffinerte petroleumsprodukter,Produksjon av kull- og raffinerte petroleumsp,C
20,"Chemicals, chemical products",2,Manufacture of chemicals and chemical products,Produksjon av kjemikalier og kjemiske produkter,Produksjon av kjemikalier og kjemiske produkt,C
21,Pharmaceuticals,2,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Produksjon av farmasøytiske råvarer og preparater,Produksjon av farmasøytiske råvarer og prepar,C
22,Rubber and plastic products,2,Manufacture of rubber and plastic products,Produksjon av gummi- og plastprodukter,Produksjon av gummi- og plastprodukter,C
23,Other non-metal mineral products,2,Manufacture of non-metallic mineral products,Produksjon av andre ikke-metallholdige mineralprodukter,Produksjon av andre ikke-metallholdige minera,C
24,Basic metals,2,Manufacture of basic metals,Produksjon av metaller,Produksjon av metaller,C
25,Fabricated metal prod.,2,"Manufacture of fabricated metal products, except machinery and equipment","Produksjon av metallvarer, unntatt maskiner og utstyr","Produksjon av metallvarer, unntatt maskiner o",C
26,Electronic and optical products,2,"Manufacture of computer, electronic and optical products",Produksjon av datamaskiner og elektroniske og optiske produkter,Produksjon av datamaskiner og elektroniske og,C
27,Electrical equipment,2,Manufacture of electrical equipment,Produksjon av elektrisk utstyr,Produksjon av elektrisk utstyr,C
28,Machinery and equipment,2,Manufacture of machinery and equipment n.e.c.,"Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted",Produksjon av maskiner og utstyr til generell,C
29,Motor vehicles etc.,2,"Manufacture of motor vehicles, trailers and semi-trailers",Produksjon av motorvogner og tilhengere,Produksjon av motorvogner og tilhengere,C
30,Other transport equipment,2,Manufacture of other transport equipment,Produksjon av andre transportmidler,Produksjon av andre transportmidler,C
31,Furniture,2,Manufacture of furniture,Produksjon av møbler,Produksjon av møbler,C
32,Other manufacturing,2,Other manufacturing,Annen industriproduksjon,Annen industriproduksjon,C
33,"Repair, installation of machinery",2,Repair and installation of machinery and equipment,Reparasjon og installasjon av maskiner og utstyr,Reparasjon og installasjon av maskiner og uts,C
35,"Electricity, gas and steam",2,"Electricity, gas, steam and air conditioning supply","Elektrisitets-, gass-, damp- og varmtvannsforsyning","Elektrisitets-, gass-, damp-, og varmtvannsfo",D
36,Water supply,2,"Water collection, treatment and supply","Uttak fra kilde, rensing og distribusjon av vann","Uttak fra kilde, rensing og distribusjon av v",E
37,Sewerage,2,Sewerage,Oppsamling og behandling av avløpsvann,Oppsamling og behandling av avløpsvann,E
38,"Waste activities, materials recovery",2,"Waste collection, treatment and disposal activities, materials recovery","Innsamling, behandling, disponering og gjenvinning av avfall","Innsamling, behandling, disponering og gjenvi",E
39,"Remediation, other waste managem.",2,Remediation activities and other waste management services,"Miljørydding, miljørensing og lignende virksomhet","Miljørydding, miljørensing og lignende virkso",E
41,Construction of buildings,2,Construction of buildings,Oppføring av bygninger,Oppføring av bygninger,F
42,Civil engineering,2,Civil engineering,Anleggsvirksomhet,Anleggsvirksomhet,F
43,Specialised construction activities,2,Specialised construction activities,Spesialisert bygge- og anleggsvirksomhet,Spesialisert bygge- og anleggsvirksomhet,F
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2,Wholesale and retail trade and repair of motor vehicles and motorcycles,Handel med og reparasjon av motorvogner,Handel med og reparasjon av motorvogner,G
