code,parentCode,level,nb_name,name
00,0,2,Uoppgitt / yrker som ikke kan identifiseres,Unspecified or unidentifiable occupations
0000,000,4,Uoppgitt / yrker som ikke kan identifiseres,Unspecified or unidentifiable occupations
01,0,2,Offiserer fra fenrik og høyere grad,Commissioned armed forces officers
0110,011,4,Offiserer fra fenrik og høyere grad,Commissioned armed forces officers
02,0,2,Befal med sersjant grad,Non-commissioned armed forces officers
0210,021,4,Befal med sersjant grad,Non-commissioned armed forces officers
03,0,2,Menige,"Armed forces occupations, other ranks"
0310,031,4,Menige,"Armed forces occupations, other ranks"
11,1,2,Politikere og toppledere,"Chief executives, senior officials and legislators"
1111,111,4,Politikere,Legislators
1112,111,4,Toppledere i offentlig administrasjon,Senior government officials
1114,111,4,Toppledere i interesseorganisasjoner,Senior officials of special-interest organisations
1120,112,4,Administrerende direktører,Managing directors and chief executives
12,1,2,Administrative og merkantile ledere,Administrative and commercial managers
1211,121,4,Finans- og økonomisjefer,Finance managers
1212,121,4,Personalsjefer,Human resource managers
1213,121,4,Strategi- og planleggingssjefer,Policy and planning managers
1219,121,4,Andre administrative ledere,Business services and administration managers not elsewhere classified
1221,122,4,Salgs- og markedssjefer,Sales and marketing managers
1222,122,4,PR- og informasjonssjefer,Advertising and public relations managers
1223,122,4,Forsknings- og utviklingsledere,Research and development managers
13,1,2,Ledere av enheter for vareproduksjon og tjenesteyting,Production and specialised services managers
1311,131,4,"Ledere i skogbruk, gartnerier mv.",Agricultural and forestry production managers
1312,131,4,Ledere innen akvakultur mv.,Aquaculture and fisheries production managers
1321,132,4,Ledere av industriproduksjon mv.,Manufacturing managers
1322,132,4,Ledere av olje- og gassutvinning mv.,Mining managers
1323,132,4,Ledere av bygge- og anleggsvirksomhet,Construction managers
1324,132,4,Ledere av logistikk og transport mv.,"Supply, distribution and related managers"
1330,133,4,Ledere av IKT-enheter,Information and communications technology service managers
1341,134,4,Ledere av omsorgstjenester for barn,Child care services managers
1342,134,4,Ledere av helsetjenester,Health services managers
1343,134,4,Ledere av eldreomsorg,Aged care services managers
1344,134,4,Ledere av sosialomsorg,Social welfare managers
1345,134,4,Ledere av utdanning og undervisning,Education managers
1346,134,4,Ledere av forsikring og finansvirksomhet,Financial and insurance services branch managers
1349,134,4,Andre ledere av produksjon og tjenesteyting,Professional services managers not elsewhere classified
14,1,2,"Ledere i hotell, restaurant, varehandel mv.","Hospitality, retail and other services managers"
1411,141,4,Hotellsjefer,Hotel managers
1412,141,4,Restaurantsjefer,Restaurant managers
1420,142,4,Varehandelssjefer,Retail and wholesale trade managers
1431,143,4,"Sports-, rekreasjons- og kultursenterledere","Sports, recreation and cultural centre managers"
1439,143,4,Andre daglige ledere i tjenesteytende virksomheter,Services managers not elsewhere classified
21,2,2,"Realister, sivilingeniører mv.",Science and engineering professionals
2111,211,4,Fysikere og astronomer,Physicists and astronomers
2112,211,4,Meteorologer,Meteorologists
2113,211,4,Kjemikere,Chemists
2114,211,4,Geologer og geofysikere,Geologists and geophysicists
2120,212,4,"Matematikere, statistikere mv.","Mathematicians, actuaries and statisticians"
2131,213,4,"Biologer, botanikere, zoologer mv.","Biologists, botanists, zoologists and related professionals"
2132,213,4,Sivilagronomer mv.,"Farming, forestry and fisheries advisers"
2133,213,4,Miljøvernrådgivere,Environmental protection professionals
2141,214,4,Sivilingeniører (industri og produksjon),Industrial and production engineers
2142,214,4,Sivilingeniører (bygg og anlegg),Civil engineers
2143,214,4,Sivilingeniører (miljøteknikk),Environmental engineers
2144,214,4,Sivilingeniører (maskin- og marin-teknikk),Mechanical engineers
2145,214,4,Sivilingeniører (kjemi),Chemical engineers
2146,214,4,"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)","Mining engineers, metallurgists and related professionals"
2149,214,4,Andre sivilingeniører (unntatt elektroteknologi),Engineering professionals not elsewhere classified
2151,215,4,Sivilingeniører (elkraftteknikk),Electrical engineers
2152,215,4,Sivilingeniører (elektronikk),Electronics engineers
2153,215,4,Sivilingeniører (telekommunikasjon),Telecommunications engineers
2161,216,4,Sivilarkitekter,Building architects
