date,consumption_group,year,month,consumer_price_index_2015_100,monthly_change_per_cent,x12_month_rate_per_cent,consumer_price_index_weights
1979-01-31,All-item index,1979,01,25.3,0,5.9,1000
1979-02-28,All-item index,1979,02,25.4,0.4,5.8,1000
1979-03-31,All-item index,1979,03,25.5,0.4,4.9,1000
1979-04-30,All-item index,1979,04,25.6,0.4,4.9,1000
1979-05-31,All-item index,1979,05,25.7,0.4,5.3,1000
1979-06-30,All-item index,1979,06,25.8,0.4,4.9,1000
1979-07-31,All-item index,1979,07,26,0.8,4.4,1000
1979-08-31,All-item index,1979,08,26,0,4.4,1000
1979-09-30,All-item index,1979,09,26.1,0.4,3.6,1000
1979-10-31,All-item index,1979,10,26.3,0.8,4,1000
1979-11-30,All-item index,1979,11,26.5,0.8,4.7,1000
1979-12-31,All-item index,1979,12,26.5,0,4.7,1000
1980-01-31,All-item index,1980,01,26.9,1.5,6.3,1000
1980-02-29,All-item index,1980,02,27.4,1.9,7.9,1000
1980-03-31,All-item index,1980,03,27.8,1.5,9,1000
1980-04-30,All-item index,1980,04,28,0.7,9.4,1000
1980-05-31,All-item index,1980,05,28.3,1.1,10.1,1000
1980-06-30,All-item index,1980,06,28.7,1.4,11.2,1000
1980-07-31,All-item index,1980,07,29,1,11.5,1000
1980-08-31,All-item index,1980,08,29.2,0.7,12.3,1000
1980-09-30,All-item index,1980,09,29.5,1,13,1000
1980-10-31,All-item index,1980,10,29.7,0.7,12.9,1000
1980-11-30,All-item index,1980,11,29.9,0.7,12.8,1000
1980-12-31,All-item index,1980,12,30.1,0.7,13.6,1000
1981-01-31,All-item index,1981,01,31,3,15.2,1000
1981-02-28,All-item index,1981,02,31.3,1,14.2,1000
1981-03-31,All-item index,1981,03,31.9,1.9,14.7,1000
1981-04-30,All-item index,1981,04,32.1,0.6,14.6,1000
1981-05-31,All-item index,1981,05,32.2,0.3,13.8,1000
1981-06-30,All-item index,1981,06,32.6,1.2,13.6,1000
1981-07-31,All-item index,1981,07,33.1,1.5,14.1,1000
1981-08-31,All-item index,1981,08,33.1,0,13.4,1000
1981-09-30,All-item index,1981,09,33.4,0.9,13.2,1000
1981-10-31,All-item index,1981,10,33.5,0.3,12.8,1000
1981-11-30,All-item index,1981,11,33.6,0.3,12.4,1000
1981-12-31,All-item index,1981,12,33.7,0.3,12,1000
1982-01-31,All-item index,1982,01,34.8,3.3,12.3,1000
1982-02-28,All-item index,1982,02,35,0.6,11.8,1000
1982-03-31,All-item index,1982,03,35.6,1.7,11.6,1000
1982-04-30,All-item index,1982,04,35.7,0.3,11.2,1000
1982-05-31,All-item index,1982,05,35.8,0.3,11.2,1000
1982-06-30,All-item index,1982,06,36.1,0.8,10.7,1000
1982-07-31,All-item index,1982,07,36.7,1.7,10.9,1000
1982-08-31,All-item index,1982,08,36.7,0,10.9,1001.4
1982-09-30,All-item index,1982,09,37,0.8,10.8,1001.4
1982-10-31,All-item index,1982,10,37.3,0.8,11.3,1001.4
1982-11-30,All-item index,1982,11,37.5,0.5,11.6,1001.4
1982-12-31,All-item index,1982,12,37.7,0.5,11.9,1001.4
1983-01-31,All-item index,1983,01,38.3,1.6,10.1,1001.4
1983-02-28,All-item index,1983,02,38.5,0.5,10,1001.4
1983-03-31,All-item index,1983,03,38.9,1,9.3,1001.4
1983-04-30,All-item index,1983,04,39,0.3,9.2,1001.4
