contents,quarter,value,shortname
Number of employees,2016K1,2482889,All industries
Number of employees,2016K2,2511909,All industries
Number of employees,2016K3,2565010,All industries
Number of employees,2016K4,2545013,All industries
Number of employees,2017K1,2509987,All industries
Number of employees,2017K2,2545423,All industries
Number of employees,2017K3,2608443,All industries
Number of employees,2017K4,2585854,All industries
Number of employees,2018K1,2552403,All industries
Number of employees,2018K2,2588436,All industries
Number of employees,2018K3,2651397,All industries
Number of employees,2018K4,2633014,All industries
Number of employees,2019K1,2602699,All industries
Number of employees,2019K2,2638834,All industries
Number of employees,2019K3,2697452,All industries
Number of employees,2019K4,2669575,All industries
Number of employees,2020K1,2632221,All industries
Number of employees,2020K2,2564942,All industries
Number of employees,2020K3,2620975,All industries
Number of employees,2020K4,2625344,All industries
Number of employees,2021K1,2569739,All industries
Number of employees,2021K2,2592833,All industries
Number of employees,2021K3,2700991,All industries
Number of employees,2021K4,2713137,All industries
Number of employees,2022K1,2682972,All industries
Number of employees,2022K2,2737731,All industries
Number of employees,2022K3,2798389,All industries
Number of employees,2022K4,2784602,All industries
Number of jobs (employments),2016K1,2712542,All industries
Number of jobs (employments),2016K2,2753498,All industries
Number of jobs (employments),2016K3,2800876,All industries
Number of jobs (employments),2016K4,2797965,All industries
Number of jobs (employments),2017K1,2745211,All industries
Number of jobs (employments),2017K2,2792430,All industries
Number of jobs (employments),2017K3,2849744,All industries
Number of jobs (employments),2017K4,2847977,All industries
Number of jobs (employments),2018K1,2798017,All industries
Number of jobs (employments),2018K2,2847193,All industries
Number of jobs (employments),2018K3,2904720,All industries
Number of jobs (employments),2018K4,2903643,All industries
Number of jobs (employments),2019K1,2855559,All industries
Number of jobs (employments),2019K2,2904794,All industries
Number of jobs (employments),2019K3,2961354,All industries
Number of jobs (employments),2019K4,2947164,All industries
Number of jobs (employments),2020K1,2893961,All industries
Number of jobs (employments),2020K2,2781088,All industries
Number of jobs (employments),2020K3,2852340,All industries
Number of jobs (employments),2020K4,2896187,All industries
Number of jobs (employments),2021K1,2810072,All industries
Number of jobs (employments),2021K2,2842504,All industries
Number of jobs (employments),2021K3,2981472,All industries
Number of jobs (employments),2021K4,3022156,All industries
Number of jobs (employments),2022K1,2958607,All industries
Number of jobs (employments),2022K2,3037854,All industries
Number of jobs (employments),2022K3,3099282,All industries
Number of jobs (employments),2022K4,3101974,All industries
Average monthly basic earnings (NOK),2016K1,40920,All industries
Average monthly basic earnings (NOK),2016K2,40820,All industries
Average monthly basic earnings (NOK),2016K3,40630,All industries
Average monthly basic earnings (NOK),2016K4,41410,All industries
Average monthly basic earnings (NOK),2017K1,41660,All industries
Average monthly basic earnings (NOK),2017K2,41680,All industries
Average monthly basic earnings (NOK),2017K3,41540,All industries
Average monthly basic earnings (NOK),2017K4,42420,All industries
Average monthly basic earnings (NOK),2018K1,42660,All industries
Average monthly basic earnings (NOK),2018K2,42720,All industries
Average monthly basic earnings (NOK),2018K3,42650,All industries
Average monthly basic earnings (NOK),2018K4,43650,All industries
Average monthly basic earnings (NOK),2019K1,44000,All industries
Average monthly basic earnings (NOK),2019K2,44140,All industries
Average monthly basic earnings (NOK),2019K3,44140,All industries
Average monthly basic earnings (NOK),2019K4,45240,All industries
Average monthly basic earnings (NOK),2020K1,45590,All industries
Average monthly basic earnings (NOK),2020K2,46070,All industries
