parentcode_indus,industryparentname,year,alder_aar,tu31,tuvekt,is.male,is.union,has.education.primary,has.education.juniorhigh,has.education.some.hs,has.education.finished.hs,has.education.trade.school,has.education.bachelor,has.education.master,has.education.doctor,has.education.ungiven,lessthantwenty,twenty,thirty,fourty,fifty,sixty,seventyplus,sector.private,sector.municipal,sector.county,sector.centralgov,employment.onleave.employee,employment.employee,employment.selfemployed,employment.onleave.selfemployed,employment.onleave.familyemploy,employment.familyemploy,employment.employee.ungiven,employment.military,collective.agreement.yes,collective.agreement.combination,collective.agreement.no,fulltime,parttime,nfreq
I,Accommodation and food service activities,2013,33.51724137931034,NA,318.56590063108376,0.3694581280788177,0.24630541871921183,0,0.2512315270935961,0.07881773399014778,0.42857142857142855,0.04926108374384237,0.1477832512315271,0.019704433497536946,0,0.024630541871921183,0.1477832512315271,0.3103448275862069,0.26108374384236455,0.18719211822660098,0.07881773399014778,0.014778325123152709,0,0.9556650246305419,0.0049261083743842365,0,0.0049261083743842365,0,0,0,0,0,0,0,0,0,0,0,0,0,203
U,Activities of extraterritorial organisations and bodies,2013,59,NA,407.65544928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T,Activities of household as employers; undifferentiated goods- and services-producing activities of households for own account,2013,67.5,NA,331.2281428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N,Administrative and support service activities,2013,40.39402985074627,NA,309.74470798973135,0.573134328358209,0.3283582089552239,0.014925373134328358,0.21194029850746268,0.07761194029850746,0.3701492537313433,0.056716417910447764,0.19701492537313434,0.04776119402985075,0,0.023880597014925373,0.04776119402985075,0.21791044776119403,0.2208955223880597,0.26865671641791045,0.1880597014925373,0.056716417910447764,0,0.8029850746268656,0.1582089552238806,0.005970149253731343,0.005970149253731343,0,0,0,0,0,0,0,0,0,0,0,0,0,335
A,"Agriculture, forestry and fishing",2013,39.63855421686747,NA,305.9193842479518,0.7710843373493976,0.3132530120481928,0,0.26506024096385544,0.13253012048192772,0.3855421686746988,0.03614457831325301,0.12048192771084337,0.03614457831325301,0,0.024096385542168676,0.12048192771084337,0.20481927710843373,0.2289156626506024,0.14457831325301204,0.21686746987951808,0.08433734939759036,0,0.9879518072289156,0.012048192771084338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
R,"Arts, entertainment and recreation",2013,38.410714285714285,NA,315.88706355910716,0.4017857142857143,0.36607142857142855,0,0.20535714285714285,0.03571428571428571,0.39285714285714285,0.008928571428571428,0.26785714285714285,0.0625,0,0.026785714285714284,0.125,0.21428571428571427,0.20535714285714285,0.22321428571428573,0.16964285714285715,0.0625,0,0.7321428571428571,0.17857142857142858,0,0.044642857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,112
F,Construction,2013,40.5755033557047,NA,295.03873049052015,0.9177852348993288,0.3523489932885906,0,0.21308724832214765,0.08389261744966443,0.5201342281879194,0.06375838926174497,0.09395973154362416,0.016778523489932886,0,0.008389261744966443,0.05536912751677853,0.19630872483221476,0.25838926174496646,0.23657718120805368,0.1912751677852349,0.06208053691275168,0,0.9714765100671141,0.016778523489932886,0,0.008389261744966443,0,0,0,0,0,0,0,0,0,0,0,0,0,596
P,Education,2013,45.68629961587708,NA,280.38924376555696,0.35723431498079383,0.8156209987195903,0,0.05121638924455826,0.03969270166453265,0.11395646606914213,0.010243277848911651,0.5492957746478874,0.1946222791293214,0.03969270166453265,0.0012804097311139564,0.010243277848911651,0.13188220230473752,0.20102432778489115,0.26504481434058896,0.2727272727272727,0.11523687580025609,0.0038412291933418692,0.09603072983354674,0.5390524967989757,0.16901408450704225,0.19206145966709348,0,0,0,0,0,0,0,0,0,0,0,0,0,781
D,"Electricity, gas, steam and air conditioning supply",2013,46.716981132075475,NA,256.4063524420755,0.6981132075471698,0.71698113207547165,0,0.05660377358490566,0.05660377358490566,0.3584905660377358,0.16981132075471697,0.22641509433962265,0.1320754716981132,0,0,0,0.1320754716981132,0.18867924528301888,0.3018867924528302,0.20754716981132076,0.16981132075471697,0,0.8113207547169812,0.03773584905660377,0,0.1509433962264151,0,0,0,0,0,0,0,0,0,0,0,0,0,53
K,Financial and insurance activities,2013,44.02116402116402,NA,306.7423012328042,0.4973544973544973,0.6031746031746031,0,0.06878306878306878,0.07936507936507936,0.20105820105820105,0.042328042328042326,0.43915343915343913,0.1693121693121693,0,0,0.010582010582010581,0.1111111111111111,0.291005291005291,0.2804232804232804,0.21164021164021163,0.09523809523809523,0,0.9047619047619048,0.005291005291005291,0,0.06349206349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,189
Q,Human health and social work activities,2013,42.37900874635569,NA,297.4345322024315,0.16676384839650146,0.7288629737609329,0.0011661807580174927,0.13119533527696792,0.0956268221574344,0.2664723032069971,0.012244897959183673,0.40699708454810496,0.07871720116618076,0.004081632653061225,0.003498542274052478,0.026822157434402333,0.18542274052478133,0.2454810495626822,0.2565597667638484,0.19825072886297376,0.08571428571428572,0.001749271137026239,0.1912536443148688,0.5405247813411078,0.023323615160349854,0.2402332361516035,0,0,0,0,0,0,0,0,0,0,0,0,0,1715
