date,year,quarter,shortname,number_of_employees,number_of_jobs_employments,average_monthly_basic_earnings_nok,average_monthly_earnings_nok,index_of_average_monthly_basic_earnings,index_of_average_monthly_earnings,code_indus,parentcode_indus,consumption_group,month,consumer_price_index_2015_100,monthly_change_per_cent,x12_month_rate_per_cent,consumer_price_index_weights,output_at_basic_values_current_prices_nok_million,intermediate_consumption_current_prices_nok_million,value_added_at_basic_prices_current_prices_nok_million,compensation_of_employees_current_prices_nok_million,taxes_on_production_current_prices_nok_million,subsidies_on_production_current_prices_nok_million,consumption_of_fixed_capital_current_prices_nok_million,operation_surplus_current_prices_nok_million,output_at_basic_values_constant_2015_price_nok_million,intermediate_consumption_constant_2015_prices_nok_million,value_added_at_basic_prices_constant_2015_prices_nok_million,output_at_basic_values_annual_change_in_volume_per_cent,intermediate_consumption_annual_change_in_volume_per_cent,value_added_at_basic_prices_annual_change_in_volume_per_cent,output_at_basic_values_annual_change_in_prices_per_cent,intermediate_consumption_annual_change_in_prices_per_cent,value_added_at_basic_prices_annual_change_in_prices_per_cent,industry
2016-03-31,2016,1,Unspecified,1224,1562,49180,49600,100,100,00,00.0,All-item index,03,102.5,0.4,3.3,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2016-06-30,2016,2,Unspecified,1215,1653,46320,50690,94.2,102.2,00,00.0,All-item index,06,103.8,0.6,3.7,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2016-09-30,2016,3,Unspecified,1236,1630,52420,52530,106.6,105.9,00,00.0,All-item index,09,104.2,0.3,3.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2016-12-31,2016,4,Unspecified,1186,1586,48050,49190,97.7,99.2,00,00.0,All-item index,12,104.4,-0.5,3.5,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2017-03-31,2017,1,Unspecified,890,1186,46430,51890,94.4,104.6,00,00.0,All-item index,03,105,0.3,2.4,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2017-06-30,2017,2,Unspecified,858,1124,47400,47920,96.4,96.6,00,00.0,All-item index,06,105.8,0.4,1.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2017-09-30,2017,3,Unspecified,649,860,46890,50480,95.3,101.8,00,00.0,All-item index,09,105.9,0.6,1.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2017-12-31,2017,4,Unspecified,745,1000,49230,49700,100.1,100.2,00,00.0,All-item index,12,106.1,0,1.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2018-03-31,2018,1,Unspecified,713,896,51260,54010,104.2,108.9,00,00.0,All-item index,03,107.3,0.3,2.2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2018-06-30,2018,2,Unspecified,809,1055,49630,54180,100.9,109.2,00,00.0,All-item index,06,108.5,0.6,2.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2018-09-30,2018,3,Unspecified,747,956,51380,51490,104.5,103.8,00,00.0,All-item index,09,109.5,0.6,3.4,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2018-12-31,2018,4,Unspecified,730,988,53350,54610,108.5,110.1,00,00.0,All-item index,12,109.8,0,3.5,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2019-03-31,2019,1,Unspecified,871,1078,60260,66620,122.5,134.3,00,00.0,All-item index,03,110.4,0.2,2.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2019-06-30,2019,2,Unspecified,921,1209,57820,58100,117.6,117.1,00,00.0,All-item index,06,110.6,0.1,1.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2019-09-30,2019,3,Unspecified,938,1167,59000,59640,120,120.2,00,00.0,All-item index,09,111.1,0.5,1.5,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2019-12-31,2019,4,Unspecified,1004,1351,59500,60130,121,121.2,00,00.0,All-item index,12,111.3,-0.3,1.4,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2020-03-31,2020,1,Unspecified,1079,1485,58650,61620,119.3,124.2,00,00.0,All-item index,03,111.2,0,0.7,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2020-06-30,2020,2,Unspecified,1296,1735,56770,56990,115.4,114.9,00,00.0,All-item index,06,112.1,0.2,1.4,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2020-09-30,2020,3,Unspecified,1261,1722,59730,60310,121.5,121.6,00,00.0,All-item index,09,112.9,0.4,1.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2020-12-31,2020,4,Unspecified,1380,1892,61970,62810,126,126.6,00,00.0,All-item index,12,112.9,0.4,1.4,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2021-03-31,2021,1,Unspecified,1490,2003,64180,72920,130.5,147,00,00.0,All-item index,03,114.6,-0.3,3.1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2021-06-30,2021,2,Unspecified,1607,2092,66520,68010,135.3,137.1,00,00.0,All-item index,06,115.3,0.3,2.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2021-09-30,2021,3,Unspecified,1590,2106,65950,67500,134.1,136.1,00,00.0,All-item index,09,117.5,1,4.1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2021-12-31,2021,4,Unspecified,1841,2389,66370,67130,135,135.3,00,00.0,All-item index,12,118.9,0.7,5.3,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2022-03-31,2022,1,Unspecified,1699,2199,69440,75900,141.2,153,00,00.0,All-item index,03,119.8,0.6,4.5,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2022-06-30,2022,2,Unspecified,1731,2252,70680,71850,143.7,144.9,00,00.0,All-item index,06,122.6,0.9,6.3,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2022-09-30,2022,3,Unspecified,1640,2145,67050,68980,136.3,139.1,00,00.0,All-item index,09,125.6,1.4,6.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2022-12-31,2022,4,Unspecified,1881,2473,64750,66470,131.7,134,00,00.0,All-item index,12,125.9,0.1,5.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified or unidentifiable industry
2016-03-31,2016,1,"Crop and animal production, hunting",12873,15955,28810,29270,100,100,01,A,All-item index,03,102.5,0.4,3.3,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2016-06-30,2016,2,"Crop and animal production, hunting",16203,19916,28250,28750,98.1,98.2,01,A,All-item index,06,103.8,0.6,3.7,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2016-09-30,2016,3,"Crop and animal production, hunting",21341,26133,26940,27320,93.5,93.3,01,A,All-item index,09,104.2,0.3,3.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2016-12-31,2016,4,"Crop and animal production, hunting",17577,22489,28580,29230,99.2,99.9,01,A,All-item index,12,104.4,-0.5,3.5,1000,38698,23080,15618,5464,202,11390,9774,11568,37745,22667,15078,1.5,1,2.2,2.5,1.8,3.6,"Crop and animal production, hunting and related service activities"
2017-03-31,2017,1,"Crop and animal production, hunting",13352,16419,29050,29440,100.8,100.6,01,A,All-item index,03,105,0.3,2.4,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2017-06-30,2017,2,"Crop and animal production, hunting",16655,20475,28230,28640,98,97.8,01,A,All-item index,06,105.8,0.4,1.9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2017-09-30,2017,3,"Crop and animal production, hunting",21947,26839,27440,27790,95.2,94.9,01,A,All-item index,09,105.9,0.6,1.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2017-12-31,2017,4,"Crop and animal production, hunting",17599,22650,29080,29470,100.9,100.7,01,A,All-item index,12,106.1,0,1.6,1000,38662,23481,15181,5645,212,11206,9899,10631,37915,22758,15156,0.4,0.4,0.5,-0.5,1.3,-3.3,"Crop and animal production, hunting and related service activities"
2018-03-31,2018,1,"Crop and animal production, hunting",13636,16871,29740,30250,103.2,103.3,01,A,All-item index,03,107.3,0.3,2.2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2018-06-30,2018,2,"Crop and animal production, hunting",17040,20973,29220,29620,101.4,101.2,01,A,All-item index,06,108.5,0.6,2.6,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
