date,year,quarter,average_monthly_basic_earnings_nok,average_monthly_earnings_nok,number_of_employees,number_of_jobs_employments,consumer_price_index_2015_100
2016-03-31,2016,1,49180,49600,1224,1562,102.5
2016-06-30,2016,2,46320,50690,1215,1653,103.8
2016-09-30,2016,3,52420,52530,1236,1630,104.2
2016-12-31,2016,4,48050,49190,1186,1586,104.4
2017-03-31,2017,1,46430,51890,890,1186,105
2017-06-30,2017,2,47400,47920,858,1124,105.8
2017-09-30,2017,3,46890,50480,649,860,105.9
2017-12-31,2017,4,49230,49700,745,1000,106.1
2018-03-31,2018,1,51260,54010,713,896,107.3
2018-06-30,2018,2,49630,54180,809,1055,108.5
2018-09-30,2018,3,51380,51490,747,956,109.5
2018-12-31,2018,4,53350,54610,730,988,109.8
2019-03-31,2019,1,60260,66620,871,1078,110.4
2019-06-30,2019,2,57820,58100,921,1209,110.6
2019-09-30,2019,3,59000,59640,938,1167,111.1
2019-12-31,2019,4,59500,60130,1004,1351,111.3
2020-03-31,2020,1,58650,61620,1079,1485,111.2
2020-06-30,2020,2,56770,56990,1296,1735,112.1
2020-09-30,2020,3,59730,60310,1261,1722,112.9
2020-12-31,2020,4,61970,62810,1380,1892,112.9
2021-03-31,2021,1,64180,72920,1490,2003,114.6
2021-06-30,2021,2,66520,68010,1607,2092,115.3
2021-09-30,2021,3,65950,67500,1590,2106,117.5
2021-12-31,2021,4,66370,67130,1841,2389,118.9
2022-03-31,2022,1,69440,75900,1699,2199,119.8
2022-06-30,2022,2,70680,71850,1731,2252,122.6
2022-09-30,2022,3,67050,68980,1640,2145,125.6
2022-12-31,2022,4,64750,66470,1881,2473,125.9
2016-03-31,2016,1,28810,29270,12873,15955,102.5
2016-06-30,2016,2,28250,28750,16203,19916,103.8
2016-09-30,2016,3,26940,27320,21341,26133,104.2
2016-12-31,2016,4,28580,29230,17577,22489,104.4
2017-03-31,2017,1,29050,29440,13352,16419,105
2017-06-30,2017,2,28230,28640,16655,20475,105.8
2017-09-30,2017,3,27440,27790,21947,26839,105.9
2017-12-31,2017,4,29080,29470,17599,22650,106.1
2018-03-31,2018,1,29740,30250,13636,16871,107.3
2018-06-30,2018,2,29220,29620,17040,20973,108.5
