Y_kode1_styrk08,Y_kode3_styrk08
9412,
9112,
3353,
2224,
1346,
5321,
7126,
3256,
5153,
5223,
9412,
3412,
2222,
3112,
5223,
9112,
5223,
2330,
3152,
2221,
3323,
2221,
8331,
1212,
3331,
3153,
2223,
3258,
2511,
5221,3322
2224,
5321,
7231,
1321,8332
3355,
8160,
2341,
5329,
1420,
2223,
1431,
2422,
4412,
5246,
3154,
3322,
8160,
5165,
8182,
3251,
2330,
5311,
7322,
9112,
3112,5411
7412,
2223,5321
5223,
5312,
5321,
5321,
2341,
3322,
2352,
8113,
3331,
2223,
7522,
8322,
3321,
8142,
7231,
1420,
7115,
2342,
2341,
8331,
5161,
6221,
7115,
2330,
8322,
9112,
2651,
2424,
2310,
2223,
7231,
2330,
2423,
4311,
2161,
2359,
2511,
1439,
2411,
6130,
3511,
3258,4223
3258,
2635,
2352,
3421,
5312,
5223,
2146,
2434,
2342,
1420,
8121,
5223,
2352,
2341,
2635,
2622,
3211,
2511,
7115,
1439,
5321,5223
2223,
3323,
5321,
3119,
7212,
3334,
2423,
2421,
5321,
4110,
1439,
7411,
3422,
2261,
5311,
2423,
2341,
3359,
1322,
5413,
3313,
0,
9629,
7411,
5321,
3322,
3112,
3312,
5222,
5111,
2113,
1345,
3331,
4221,
7115,
3412,
5246,
2519,
5132,
2341,
2341,
2224,
2423,
9112,
2635,
5223,5329
4110,
3412,
1330,
2264,
5153,9112
2261,2261
8332,
5311,
5311,
2511,
8121,
5120,
4226,
4110,
2422,
5164,
2310,5321
3322,
1323,
3152,
2422,
3359,
8157,
9412,
3322,
9112,
7411,
3322,
9412,
1345,
5223,
2330,
3313,
5223,
2611,
2223,2223
5223,
5321,
2341,
5329,
4311,
2342,
3313,
3256,
2652,2652
9112,
2341,
5222,
1211,
5321,
2511,
2411,
7412,
3315,
5223,
5321,
3331,
9112,
1342,
8332,
5411,
3132,
2221,
1114,
2422,
8160,
5223,
5223,
1345,
5223,
5321,
4311,
3313,
2511,
3117,
5311,
1343,
2221,
8342,
5223,5131
2144,
5153,
2341,
6130,
5153,6130
1343,
3353,
5321,
4110,
7233,
7411,
2422,
3313,
2635,
2223,
5223,
1420,
2330,
2411,
2163,
2149,
4211,
2146,
1346,3334
2422,
5111,
2512,
3112,
4224,
2351,2341
4110,
5223,
7115,
8343,
3422,
2310,3334
6121,
2221,
3322,
7412,
2421,1323
6130,9112
9329,
9112,
3152,
5142,
2341,
9329,
3431,
2422,
8322,
5311,
2635,
2223,
1324,
5312,
3313,
5120,
2652,3313
5321,
5311,
1321,
3341,
4323,
4311,
1219,
5321,
7115,
9611,
2422,
2422,
2341,
2411,
2310,2310
0,
1420,
7115,
2310,
3112,
3312,
1312,
2267,
5120,
3334,1342
5321,5321
4322,
3423,
2330,
2120,2310
2422,
3521,2641
2310,
5223,
7131,
8113,
2146,
4110,
5321,
9112,9112
2511,5223
5141,
5311,
5321,
4211,
5311,
8160,
3313,3423
4110,
1321,
7115,
4224,
2411,2411
5223,
1330,
2411,
4110,
6121,
4110,
2423,
2224,
4322,
7131,5153
4226,
4110,
5312,
5223,
3359,
2342,
3322,
2330,
2352,
2341,
2421,
1221,
5311,
2413,
8342,
1342,
1322,
3119,
2166,
2341,
2114,
4110,
5141,
5311,
1321,
9312,
4321,
1219,
2310,
3322,
2341,
5311,5311
2223,
3312,
8342,
2310,
5141,
5414,
2635,
3151,
1343,
2223,
5223,6121
1420,
2422,
5311,
9112,
2223,
8342,
6113,
5311,
8331,
5222,
4226,
7115,
2223,
7411,
8331,
5321,
3322,
2224,
2519,
5414,8343
8152,
5223,5223
2342,
2411,3313
3119,
4110,5322
1323,
2113,
1343,
5120,
8332,
1342,
3112,
3322,
2330,
3412,4227
5223,9629
5311,
1111,
1343,
5223,
1114,2422
5321,5321
2223,
2351,
5329,
7115,
5223,
3322,
2635,
5311,
3511,
7115,7115
2519,
3313,3313
2651,2651
3322,
7411,
2223,
7115,
7233,
3334,
2262,
4313,
5321,5321
2433,
2422,
3213,
2341,
5311,
2431,
3312,
2352,
7231,
4321,
2221,
5321,
3412,
8322,2413
1114,
2422,
9629,5311
1341,
3322,
6121,
8160,
2341,
5223,
8212,
4412,
3212,
2153,2359
7112,
2223,
9313,
2330,
0,
2330,
2211,
1341,
2330,
2161,
3313,
2221,
3423,
2422,
2412,
2411,
5321,
3117,
5414,
5311,
8141,
2149,
3432,
2250,
5311,5311
2250,
2223,
1120,
7212,
3257,
5223,
3112,
5322,9112
3213,
2511,
5223,
7223,
5223,
2422,
2423,
7411,
5223,
3212,
1420,
1420,
8322,
4110,
2421,
5120,
5311,
2519,
1342,2359
2221,
5329,
5321,
2212,2212
8113,
2411,
1412,
1341,
5321,
9412,
2342,
2146,
5321,
3322,
5141,
2634,
5131,
3151,
2310,
2341,
5223,
3312,
9112,
2413,
3341,
5311,
2411,
2341,
2146,
3112,
4311,
6113,
5329,
2422,6121
2223,
3323,
5311,
8322,
7411,
2423,
2412,
7233,
3119,
1431,
9112,
5329,
2222,6121
1321,
3431,3521
1342,
2423,
2511,
2330,
3311,
2422,
9112,
7132,
2422,
3256,
3257,
3119,
6113,
2423,
1324,
4412,
1342,
3311,
0,
7522,
5329,
3412,
2330,
3334,
5329,
3312,
3152,
4311,
5321,
1219,
2422,
3343,
2142,2310
2161,
3322,
9312,
2422,
1222,
2212,2212
2421,
5223,
2146,
5223,
5311,
2422,5321
2422,
8332,
5321,5321
5321,
1212,
2330,
4311,
4110,
2146,
1345,
8322,
5321,
3153,3153
3322,
8113,
3112,
7412,
8332,
4110,
3313,
5221,
5413,
3313,
2431,
2422,2359
8332,
4322,
1219,
5142,
